year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_grf,spend_hcs,spend_tws
2020,1,18,6,0.0155,0.0655,0.0213,-0.0168,0.0322,0.0307
2020,1,18,7,0.0114,-0.0385,0.0155,-0.0261,0.0522,0.0211
2020,1,18,8,0.0227,0.0486,0.033,-0.0179,0.0612,0.0409
2020,1,18,9,-0.0106,0.087,-0.0294,-0.0608,-0.14800000000000002,0.0492
2020,1,18,10,0.006,0.10099999999999999,0.0144,-0.0196,0.00804,0.0323
2020,1,18,11,0.0107,0.168,0.0214,-0.0338,0.0402,-0.0585
2020,1,18,12,0.0086,-0.007409999999999999,0.000165,-0.0054399999999999995,0.0504,0.00765
2020,1,18,13,0.0286,-0.0656,-0.00103,0.0144,0.0124,-0.0222
2020,1,18,14,0.00946,-0.0278,-0.00433,-0.012,-0.0333,0.028999999999999998
2020,1,18,16,0.0066099999999999996,0.0561,0.0149,-0.0341,0.0124,0.047
2020,1,18,17,0.0158,0.0748,0.00266,-0.0206,0.0627,0.0145
2020,1,18,19,0.0175,0.133,0.0284,-0.00115,0.0175,0.0367
2020,1,18,20,0.00391,0.317,-0.0285,-0.0675,-0.016,-0.0688
2020,1,18,21,0.0666,-0.0556,0.0308,-0.000665,0.0784,0.0453
2020,1,18,22,-0.027999999999999997,0.00168,0.0194,-0.0302,0.0791,0.127
2020,1,18,23,-0.0212,0.0418,-0.00417,-0.0139,-0.00282,-0.0195
2020,1,18,24,-0.0285,0.0963,-0.0162,-0.0387,-0.0023899999999999998,-0.0158
2020,1,18,25,0.0472,-0.052000000000000005,0.0148,-0.0353,-0.00554,0.0389
2020,1,18,27,0.0129,-0.0736,0.0238,0.0554,0.271,-0.0245
2020,1,18,28,0.0123,0.018000000000000002,0.0037799999999999995,-0.0402,-0.0352,0.0353
2020,1,18,29,0.0853,0.0452,0.0208,-0.0377,0.026000000000000002,-0.04
2020,1,18,30,-0.0354,-0.0268,-0.0159,-0.0653,-0.047,-0.0453
2020,1,18,31,-0.034,0.0304,-0.0161,-0.0314,-0.0086,-0.033
2020,1,18,32,0.0435,0.0946,0.0389,-0.0673,0.0585,-0.0306
2020,1,18,33,-0.00349,0.0722,0.000604,-0.0212,0.0226,-0.012
2020,1,18,34,-0.00214,0.0775,0.0006309999999999999,-0.0138,0.006,-0.0481
2020,1,18,35,0.0222,-0.0336,0.0205,-0.004079999999999999,0.0347,-0.0339
2020,1,18,36,0.0251,0.21100000000000002,0.0223,-0.0223,0.0388,0.0198
2020,1,18,37,0.0124,0.147,0.0414,-0.00926,-0.0915,0.0169
2020,1,18,38,0.0283,0.0421,0.02,-0.0264,-0.00598,0.0385
2020,1,18,39,0.00492,0.0608,0.00351,-0.0305,-0.0143,0.0452
2020,1,18,40,-0.0514,0.0638,-0.00469,-0.00132,-0.0666,0.0558
2020,1,18,41,-0.00229,0.11199999999999999,0.0255,0.00325,0.0474,0.009290000000000001
2020,1,18,42,-0.0423,0.0768,-0.0181,-0.0122,-0.00966,0.0131
2020,1,18,43,0.0301,0.102,0.0126,-0.0069299999999999995,0.0901,0.00318
2020,1,18,44,0.0678,0.253,0.0532,-0.0151,-0.11199999999999999,-0.0084
2020,1,18,45,0.0562,0.40399999999999997,0.0362,0.0102,-0.141,0.0492
2020,1,18,46,-0.0551,0.221,-0.0271,-0.0236,-0.175,0.0556
2020,1,18,47,0.00588,0.0626,0.0134,-0.0263,0.10300000000000001,-0.0737
2020,1,18,48,0.0035299999999999997,-0.0331,0.0273,-0.0154,0.124,0.00031800000000000003
2020,1,18,49,-0.0007160000000000001,0.0428,-0.000459,-0.0371,-6.87e-05,-0.0174
2020,1,18,50,0.0266,0.0904,0.0227,-0.00503,-0.0743,0.0338
2020,1,18,51,-0.027999999999999997,0.049,0.00831,0.0161,0.0252,0.0192
2020,1,18,52,0.0166,0.0376,0.0321,-0.00575,0.161,-0.0697
2020,1,18,53,-0.0247,0.0491,0.016,-0.0071200000000000005,0.121,0.0119
2020,1,19,1,0.00232,-0.0286,0.0149,-0.0218,0.0219,0.0254
2020,1,19,2,0.00852,-0.0452,0.0143,-0.009770000000000001,0.0044,0.0551
2020,1,19,3,6.54e-05,0.27399999999999997,0.0216,-0.0226,0.0787,0.000248
2020,1,19,4,0.0060799999999999995,0.052000000000000005,0.0119,-0.0176,0.0144,0.024
2020,1,19,5,-0.00821,0.0239,0.0176,-0.0211,0.007559999999999999,0.0462
2020,1,19,6,0.0148,0.0745,0.0249,-0.0237,0.0563,0.0326
2020,1,19,7,0.021,-0.044000000000000004,0.0218,-0.0378,0.0569,0.0198
2020,1,19,8,0.0276,0.0785,0.0428,-0.0217,0.0693,0.0526
2020,1,19,9,-0.0051600000000000005,0.0968,-0.0364,-0.0913,-0.175,0.0601
2020,1,19,10,0.0102,0.11,0.017,-0.0236,0.0163,0.0317
2020,1,19,11,0.0105,0.20800000000000002,0.0254,-0.0453,0.0483,-0.0507
2020,1,19,12,0.00719,-0.0326,-0.00252,-0.0097,0.0627,0.00886
2020,1,19,13,0.032,-0.0642,-0.00375,0.0145,0.005520000000000001,-0.0303
